Model,Current Price
MarutiRitzVXIBS,"Rs.5,13,902"
MahindraScorpio,Rs.11.98 Lakh
JeepCompass2.0LIMITED,Rs.26.77 Lakh
VolkswagenVentoHIGHLINEPETROL,Rs.10.00 Lakh
HyundaiGrandi101.2ASTA(O),"Rs.5,52,005"
HyundaiElitei20SPORTZ,Rs.7.22 Lakh
HyundaiXcentSX1.1CRDI,Rs.7.02 Lakh
HondaJazz1.2V,"Rs.7,35,000"
Hyundaii20MAGNA1.4,Rs.9 Lakh
HyundaiVernaFLUIDIC1.6EXCRDI,Rs.9.99 Lakh
MarutiSwiftDzireVDIBS,Rs.5.61 Lakh
HondaBrio1.2VXMTI,Rs.5.75 Lakh
RenaultKwidCLIMBER1.0,Rs.5.31 Lakh
HondaAmaze1.2VMT,Rs.7.55 Lakh
HyundaiVENUE1.0TURBOGDISX+,Rs.8.64 Lakh
HyundaiNEWSANTRO1.1MAGNACNG,Rs.5.86 Lakh
MarutiCiazVDI+,Rs.9.90 Lakh
MarutiCiazVDI,"Rs.8,92,031"
HyundaiVernaFLUIDIC1.6SXCRDI,Rs.11.73 Lakh
TataHexaVaricor400,"Rs.17,94,860"
Hyundaii10MAGNA1.2,"Rs.4,61,681"
HyundaiElitei201.4CRDIASTA,Rs.9 Lakh
MercedesBenzCClass220EDITION,43.37 Lakh
SkodaRapid1.6TDIMT,Rs.10 Lakh
MarutiAltoLXI,Rs.3.63 Lakh
HondaAmaze1.5SXMTI,Rs.8.26 Lakh
ToyotaInnovaCrysta2.4GX8,0
HyundaiVernaFLUIDIC1.6CRDISXOPT,Rs.12.75 Lakh
FordNewFigo1.5TITANIUMAT,Rs.7.70 Lakh
MahindraXUV3OO,Rs.10.20 Lakh
MarutiSwiftZXI,Rs.6.78 Lakh
MahindraTUV300T8,Rs.10.80 Lakh
MarutiCelerioZXI,Rs.5.58 Lakh
ToyotaEtiosCROSS,Rs.7.50 Lakh
FordEcosport1.5TITANIUM,Rs.9.99 Lakh
HondaCityVXMTO,Rs.12.85 Lakh
RenaultKwid1.0,Rs.4.42 Lakh
HyundaiElitei201.2MAGNAPLUS,Rs.9 Lakh
HyundaiCreta1.6,"12,35,441"
HyundaiElitei20MagnaExecutive,"7,22,198"
MarutiWagonRVXIBS,4.41 Lakh
MarutiSwiftDzireZXI,"Rs.8,00,500"
BMW5Series,Rs.55.99 Lakh
HyundaiGrandi10Magna1.2AT,Rs.6.05 Lakh
HyundaiVerna1.6SXVTVTAT,11.74 Lakh
NissanMicraXEPLUS,Rs.4.78 Lakh
MarutiCelerioVXI(O),Rs.4.92 Lakh
VolkswagenPoloGT,Rs.9.92 Lakh
HondaCityVX(O),Rs.12.39 Lakh
HyundaiVernaFLUIDIC1.6EX,Rs.9.99 Lakh
NissanMicraXVPREMIUM,"Rs.7,66,024"
HondaCityVXCVT,Rs.12.85 Lakh
HyundaiVENUE1.4CRDIMT,Rs.9.78 Lakh
HyundaiElitei201.2SPORTSPLUS,Rs.9 Lakh
MarutiEeco5STRWITHACPLUS,Rs.4.38 Lakh
MarutiWagonRDuoLXI,Rs.4.15 Lakh
HyundaiCreta1.4EPLUS,"Rs.9,99,990"
MarutiDzire,Rs.7.50 Lakh
TataNEXONXM,Rs.8.96 Lakh
